ter_id,nombre,lugar_over,direccion,provincia,departamento,telefono,latitud,longitud
55,HUANUCO / LEONCIO PRADO / RUPA RUPA / TINGO MARIA CO BUENOS AIRES,TINGO MARIA CO BUENOS AIRES,"CALLE ROSARIO CENTRAL, REFERENCIA: SEGUNDA ENTRADA DE BUENOS AIRES, EN LA MISMA ESQUINA",LEONCIO PRADO,HUANUCO,(01) 500 7878,-93.212.843,-759.933.975
56,ICA / PISCO / PISCO / AV ABRAHAM VALDELOMAR CO,AV ABRAHAM VALDELOMAR CO,"AV. ABRAHAM VALDELOMAR NRO. PUERTA 965 PISCO - PISCO - ICA, REF. A UNA CDRA. POR LA POSTA SAN MARTIN",PISCO,ICA,,-13.717.889.589.276,-76.207.415.719.224
58,JUNIN / CHUPACA / CHUPACA / CHUPACA,CHUPACA,"JR. RAMON CASTILLA 201, CHUPACA - CHUPACA - JUNIN, REF. A UNA CDRA. DE LA PLAZA PRINCIPAL DE CHUPACA",CHUPACA,JUNIN,(01) 500 7878,-12.061.264.754.772,-75.286.272.902.005
60,LIMA / LIMA / ATE-VITARTE / HUAYCAN ENTRADA,HUAYCAN ENTRADA,"Carretera central km 17 MZ. E LT. 1,  Ref. Entrada de Huaycan al costado del grifo PRIMAX. ex grifo el negro.",LIMA,LIMA,(01) 500 7878,-119.988.136,-768.368.031
66,LIMA / LIMA / SAN JUAN DE LURIGANCHO / AV. 13 DE ENERO,AV. 13 DE ENERO,"AV. 13 DE ENERO Nº2057, URB. SAN HILARIÓN, REFERENCIA: CERCA A LA ESTACIÓN LOS POSTES",LIMA,LIMA,(01) 500 7878,-11.997.585,-77.005.279
67,LIMA / LIMA / COMAS / AV UNIV.  RETABLO,AV UNIV.  RETABLO,"AV. UNIVERSITARIA N° 7241, REFERENCIA: EX BOULEVARD DE RETABLO / A 2 CDRAS DEL METRO DE BELAUNDE",LIMA,LIMA,(01) 500 7878,-11.937.314.524.134.500,-7.705.809.407.916.100
68,LIMA / LIMA / SAN MARTIN DE PORRES / FIORI,FIORI,"AV. MIGUEL ANGEL N° 235 - URB. FIORI 4TA ETAPA MZ. N-1 LT. 04 U.I N°6, SAN MARTÍN DE PORRES - LIMA, REF. A 1 CDRA. DEL CRUCE CON AV. MARCO POLO",LIMA,LIMA,(01) 500 7878,-12.009.873.681.812.500,-7.705.573.138.335.190
70,LIMA / LIMA / CHORRILLOS / CHORRILLOS CO,CHORRILLOS CO,"AV. SANTA ANITA N.° 580, CHORRILLOS - LIMA, REF. AL COSTADO DEL MERCADO SANTA ANITA, CRUCE CON SAN GENARO",LIMA,LIMA,(01) 500 7878,-1.219.049.228.146.920,-7.701.532.743.242.800
72,CALLAO / CALLAO / CALLAO / CALLAO FAUCETT,CALLAO FAUCETT,AV. ELMER FAUCETT N° 492,CALLAO,CALLAO,(01) 500 7878,-12.049.958.017.539.400,-7.709.809.500.001.090
73,LIMA / LIMA / PUENTE PIEDRA / PUENTE ARICA,PUENTE ARICA,"PANAMERICANA NORTE  KM 32.5 , A 1/2  CUADRA DEL PUENTE ARICA  - AL COSTADO DEL GRIFO REPSOL",LIMA,LIMA,(01) 500 7878,-118.531.295,-77.088.719
75,CUSCO / ESPINAR / YAURI ( ESPINAR ) / ESPINAR,ESPINAR,"CALLE SAN JOSE N° 703 BARRIO PROGRESO, YAURI (ESPINAR) - ESPINAR - CUSCO, REF.  A MEDIA CDRA. DEL GRIFO SAN JOSE / A MEDIA CDRA. DE LA AV. TINTAYA",ESPINAR,CUSCO,(01) 500 7878,-14.794.805.680.154,-7.140.547.176.079
85,SAN MARTIN / RIOJA / RIOJA / RIOJA,RIOJA,"CTRA. FERNANDO BELAÚNDE TERRY N° 415, REFERENCIA: AL COSTADO DE LA CLÍNICA CHILCON HOPE",RIOJA,SAN MARTIN,(01) 500 7878,-6.053.861.100.001.360,-7.716.166.602.945.000
90,LIMA / LIMA / PACHACAMAC / LA CURVA DE MANCHAY,LA CURVA DE MANCHAY,"AV. PROLONGACIÓN DE LA AV. LA MOLINA MZ. E LOTE 21. AH PAUL POBLET LIND, PACHACAMAC - LIMA, REF. A MEDIA CDRA. DE MI BANCO",LIMA,LIMA,(01) 500 7878,-12.084.751.211.026.500,-768.761.664.787.276
92,LIMA / LIMA / LA MOLINA / AV  LA FONTANA,AV  LA FONTANA,Av la fontana 440 - La Molina (CC La Rotonda II local 1018),LIMA,LIMA,(01) 500 7878,-12.072.691,-769.548.488
93,LA LIBERTAD / CHEPEN / CHEPEN / CHEPEN,CHEPEN,"PROLONGACION EZEQUIEL GONZALES CACEDA 193 - SEC. CHEPEN, FRENTE AL COLISEO",CHEPEN,LA LIBERTAD,(01) 500 7878,-72.211.028,-79.436.371
94,LA LIBERTAD / PACASMAYO / PACASMAYO / PACASMAYO LAS PALMERAS,PACASMAYO LAS PALMERAS,"CTRA. PANAMERICANA NORTE N° MZ. P LT. 4A - A.H. LAS PALMERAS, REFERENCIA: ENTRE AV. SUCRE Y AV. LEONCIO PRADO",PACASMAYO,LA LIBERTAD,(01) 500 7878,-73.942.461.776.644,-79.564.250.835.777
95,LIMA / LIMA / VILLA EL SALVADOR / AV. CESAR VALLEJO,AV. CESAR VALLEJO,"AV. CESAR VALLEJO, MZ. F LT. 1 - SECT. 2, REFERENCIA: FRENTE A ESSALUD, AL COSTADO DEL MERCADO VILLA SUR",LIMA,LIMA,(01) 500 7878,-12.210.718.983.393.400,-769.327.330.431.671
97,LIMA / LIMA / SAN JUAN DE MIRAFLORES / ATOCONGO,ATOCONGO,AV. DE LOS HÉROES N° 228 - SAN JUAN DE MIRAFLORES - (ESTACIÓN ATOCONGO),LIMA,LIMA,(01) 500 7878,-121.518.357,-769.781.867
98,PIURA / MORROPON / CHULUCANAS / CHULUCANAS,CHULUCANAS,JR. HUANCAVELICA N° 548   REFERENCIA : AL LADO DEL TERMINAL DE RONCO,MORROPON,PIURA,(01) 500 7878,-50.955.589,-801.629.195
99,PIURA / SECHURA / SECHURA / SECHURA,SECHURA,AV. BAYOVAR N° 311  REFERENCIA : AL COSTADO DE ANTENA 10 RADIO,SECHURA,PIURA,(01) 500 7878,-55.556.999,-8.081.829
100,PIURA / PIURA / LA UNION / LA UNION,LA UNION,AV. LIMA N° 590  REFERENCIA : frente a tiendas chancafe,PIURA,PIURA,(01) 500 7878,-53.993.284,-80.742.189
101,PIURA / PIURA / CATACAOS / CATACAOS,CATACAOS,"AV. FRANCISCO BOLOGNESI MZ. 60 LT. 37 CATACAOS - PIURA - PIURA, REF. AL LADO DEL EX PRONEI",PIURA,PIURA,(01) 500 7878,-5.267.972.200.001,-80.672.388.229.458
102,PIURA / PAITA / PAITA / PAITA,PAITA,"MZ. H LT. 14 URB. SOL Y MAR  - PAITA, REFERENCIA: AL COSTADO DE LA EMPRESA SAN MIGUEL",PAITA,PIURA,(01) 500 7878,-50.867.947.730.703,-81.093.009.488.701
103,PIURA / MORROPON / MORROPON / MORROPON,MORROPON,"JR. ADRIANZÉN N° 099, MORROPON - MORROPON - PIURA, REF, A ESPALDAS DE DEL TERMINAL TERRESTRE DE TRAMPSA",MORROPON,PIURA,(01) 500 7878,-51.891.950.678.039,-79.972.304.929.448
104,CALLAO / CALLAO / VENTANILLA / PARAD.  LOS LICENCIADOS,PARAD.  LOS LICENCIADOS,"CALLE 19, Mz. J Lt. 26 ZN - URB. Coop. De La Marina, REFERENCIA: AL COSTADO DE LUBRICENTRO PABLITO ROMERO",CALLAO,CALLAO,(01) 500 7878,-1.187.987.048.810.650,-7.712.691.298.460.290
105,LIMA / LIMA / PUEBLO LIBRE / AV. LA MARINA,AV. LA MARINA,AV. LA MARINA 1640 - REFERENCIA :  A UNA CUADRA DEL CENTRO COMERCIAL PLAZA SAN MIGUEL ,LIMA,LIMA,(01) 500 7878,-120.775.694,-770.799.465
106,LIMA / LIMA / SAN MARTIN DE PORRES / AV. CANTA CALLAO  CON ALISOS,AV. CANTA CALLAO  CON ALISOS,"AV. CANTA CALLAO, MZ. A LT. 3 URB. ARIZONA - 2DA ETAPA  ",LIMA,LIMA,(01) 500 7878,-1.197.783.423,-7.709.336.287
107,LIMA / LIMA / SAN MARTIN DE PORRES / AV BERTELLO SMP,AV BERTELLO SMP,"AV. ALEJANDRO BERTELLO BOLLATI MZ. H LT. 2-A - ASOC. DE VIV. SAN REMO II ETAPA, SAN MARTÍN DE PORRES - LIMA - LIMA, REF. A MEDIA CDRA. DEL CRUCE CON AV. CANTA CALLAO",LIMA,LIMA,(01) 500 7878,-11.995.717.209.191,-77.113.550.598.391
108,LIMA / LIMA / CARABAYLLO / CARABAYLLO ESTABLO,CARABAYLLO ESTABLO,"AV. TUPAC AMARU N? 441 - 443, MZ. O2 LT. 35, REFERENCIA: PARADERO ESTABLO, A UNA CUADRA DE LA URB. SANTA ISABEL",LIMA,LIMA,(01) 500 7878,-119.035.821,-770.309.854
109,LIMA / LIMA / ATE-VITARTE / AV  MARCO PUENTE,AV  MARCO PUENTE,"AV. MARCO PUENTE LLANOS 309, MZ. A, LT. 03",LIMA,LIMA,(01) 500 7878,-12.032.176.320.938.600,-7.692.178.990.219.480
111,LIMA / LIMA / SURQUILLO / REP. DE PANAMA,REP. DE PANAMA,"AV REPÚBLICA DE PANAMÁ N° 5115, REFERENCIA: costado del grifo Repsol.",LIMA,LIMA,(01) 500 7878,-121.155.255,-7.701.815.066
112,LA LIBERTAD / VIRU / CHAO / CHAO,CHAO,"AV. VICTOR RAUL HAYA DE LA TORRE 575 CHAO - VIRU, REF. A MEDIA CDRA. DE LA COMISARÍA DE CHAO",VIRU,LA LIBERTAD,(01) 500 7878,-85.379.739.271.001,-78.678.412.960.146
